"IUTHeatInsertdef"
"Dia","D","Length","ExtDia","C","S1","S2"
"M2",3.23,4.00,3.73,3.07,0.79,0.79
"M2.5",4.00,5.74,4.55,3.86,0.79,0.79
"M3",4.00,5.74,4.55,3.86,0.79,0.79
"M3.5",4.80,7.14,5.33,4.65,0.79,0.79
"M4",5.67,8.15,6.17,5.51,0.79,0.79
"M5",6.43,9.52,6.93,6.27,1.17,1.17
"M6",8.00,12.7,8.69,7.87,1.17,1.58

"PEMIUTBdef"
"Dia","P","E","C","hole_dia","A_tol","E_tol","C_tol","hole_dia_plus","hole_dia_minus","thread_spec"
"M2",0.4,3.73,3.07,3.23,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M2.5",0.45,4.55,3.86,4.01,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M3",0.5,4.55,3.86,4.01,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M3.5",0.6,5.33,4.65,4.81,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M4",0.7,6.17,5.51,5.67,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M5",0.8,6.93,6.27,6.43,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M6",1.0,8.69,7.87,8.03,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"
"M8",1.25,10.31,9.50,9.60,0.13,0.23,0.13,0.08,0,"6H, ASME B1.13M"

"PEMIUTBlength"
"Dia","length","..."
"M2","3.18","4"
"M2.5","5.74"
"M3","3.43","5.74"
"M3.5","7.14"
"M4","4.7","8.15"
"M5","5.72","9.52"
"M6","7.62","12.7"
"M8","12.7"

"PEMIUTBinstall"
"DiaxLength","min_hole_depth","length_code"
"M2x3.18",3.94,"318"
"M2x4",4.76,"-"
"M2.5x5.74",6.50,"-"
"M3x3.43",4.19,"343"
"M3x5.74",6.50,"-"
"M3.5x7.14",7.90,"-"
"M4x4.7",5.46,"470"
"M4x8.15",8.91,"-"
"M5x5.72",6.48,"572"
"M5x9.52",10.28,"-"
"M6x7.62",8.38,"762"
"M6x12.7",13.46,"-"
"M8x12.7",13.46,"-"
